Herrialdea;Kokapena;Lana;Dirua;Ezagupenak;Denbora;Boterea;Osasuna
Suezia;Iparraldea;84.81;87.21;76.44;71.92;85.11;94.52
Herbehereak;Erdialdea;79.29;88.07;69.10;76.93;72.75;94.18
Danimarka;Iparraldea;82.13;89.47;69.24;72.69;73.92;88.57
Espainia;Hegoaldea;75.38;78.34;70.04;70.42;81.08;91.22
Belgika;Erdialdea;75.37;90.69;74.07;64.66;71.59;88.48
Frantzia;Erdialdea;73.22;84.91;65.21;68.67;83.84;88.27
Luxemburgo;Erdialdea;79.64;93.94;70.29;62.79;64.40;90.36
EuskadiEAE;Hegoaldea;75.62;85.62;67.71;78.26;63.08;92.39
Finlandia;Iparraldea;77.95;87.39;60.53;69.68;73.86;93.10
Irlanda;Erdialdea;76.45;87.95;69.47;59.46;64.69;94.82
Austria;Erdialdea;76.41;88.23;65.59;68.39;55.44;91.45
Alemania;Erdialdea;76.75;87.11;56.13;65.03;67.59;89.85
Eslovenia;Ekialdea;75.85;84.53;60.73;69.33;56.13;86.49
Italia;Hegoaldea;65.03;80.25;60.77;67.37;62.67;89.19
Malta;Hegoaldea;80.01;83.35;70.13;59.45;45.32;87.39
Portugal;Hegoaldea;76.52;73.60;58.74;67.79;57.39;84.11
Bulgaria;Ekialdea;69.98;66.99;57.85;63.80;62.74;77.84
Lituania;Ekialdea;75.71;71.23;59.30;62.15;48.64;82.93
Polonia;Ekialdea;69.58;78.39;59.39;71.45;36.38;84.35
Letonia;Ekialdea;76.40;68.14;50.44;62.63;49.12;78.90
Kroazia;Ekialdea;72.08;73.63;54.19;48.60;49.50;84.85
Txipre;Hegoaldea;76.49;83.28;65.48;58.41;29.16;87.13
Estonia;Ekialdea;77.47;73.34;57.79;64.42;33.02;85.13
Eslovakia;Ekialdea;71.88;74.19;62.13;60.99;31.06;85.08
Grezia;Hegoaldea;68.66;71.68;57.34;67.11;30.43;85.52
TxekiarErrepublika;Ekialdea;68.88;79.40;59.80;57.05;30.15;84.78
Hungria;Ekialdea;76.45;73.95;57.86;61.20;26.24;87.19
Rumania;Ekialdea;66.99;70.65;54.45;69.23;30.65;70.03
